"access","der Zugang"
"appointment","der Termin"
"beyond","jenseits, über ... hinaus"
"chart","die Tabelle, das Diagramm"
"competition","der Wettbewerb, die Konkurrenz"
"contract","der Vertrag"
"crop","die Ernte"
"
  economic","wirtschaftlich"
"environment","die Umwelt"
"housewife","die Hausfrau"
"knowledge","das Wissen"
"loss","der Verlust"
"mug","der Becher"
"obvious","offenbar, offensichtlich"
"particularly","besonders"
"pregnant","schwanger"
"property","das Eigentum"
"purpose","der Zweck"
"shape","die Form"
"
  similar","ähnlich"
"soil","der Boden, die Erde"
"stranger","der Fremde"
"to attempt","versuchen"
"to disappear","verschwinden"
"to gather","sammeln, versammeln"
"to indicate","anzeigen, andeuten"
"to remain","übrig bleiben"
"to support","stützen, unterstützen"
"to vary","verändern, sich ändern"
"
  tough","zäh"
"attitude","die Einstellung"
"
  brave","tapfer"
"circumstances","die Umstände, die Verhältnisse"
"controls","die Steuerung"
"defence","die Verteidigung"
"
  distant","entfernt, fern"
"economy","die Wirtschaft"
"
  gentle","sanft, zart"
"
  huge","groß, riesig"
"labour","die Arbeit"
"nationality","die Staatsangehörigkeit"
"path","der Pfad, der Weg"
"proposal","der Vorschlag"
"rate","die Rate, der Tarif"
"site","der Platz"
"structure","die Struktur, der Aufbau"
"to admit","einlassen, gestehen, anerkennen"
"to approach","sich nähern"
"to concern","angehen, betreffen"
"to establish","gründen"
"to intend","beabsichtigen"
"to maintain","in Stand halten, behaupten"
"to offer","anbieten"
"to prevent","verhindern"
"to require","brauchen, erfordern"
"to share","teilen"
"to solve","lösen"
"to suppose","annehmen, vermuten"
"to treat","behandeln"
"wing","der Flügel"
"appropriate","angemessen, angebracht"
"authority","die Autorität"
"cause","die Ursache"
"cotton","die Baumwolle"
"degree","der Grad"
"effort","die Anstrengung"
"growth","das Wachstum"
"investment","die Investition, die Anlage"
"legal","gesetzlich, legal"
"neighbourhood","die Nachbarschaft"
"opportunity","die Gelegenheit"
"pattern","das Muster"
"previous","früher, vorherig"
"research","die Forschung"
"shell","die Muschel, die Schale"
"skill","die Fertigkeit, die Geschicklichkeit"
"spot","die Stelle, der Fleck"
"sudden","plötzlich, unerwartet"
"surface","die Oberfläche"
"to alter","ändern"
"to claim","beanspruchen"
"to consider","überlegen, in Betracht ziehen, halten für"
"to divide","teilen, sich teilen"
"to experience","erfahren"
"to hunt","jagen"
"to make sure","sicher stellen"
"to prove","beweisen"
"to recover","sich erholen"
"unfortunately","leider"
"wire","der Draht"
"
  amazing","erstaunlich"
"association","der Verband, der Verein"
"available","erhältlich, verfügbar"
"cell","die Zelle"
"column","die Säule, die Spalte"
"court","das Gericht"
"
  flexible","flexibel"
"habit","die Gewohnheit"
"likely","wahrscheinlich"
"oxygen","der Sauerstoff"
"performance","die Durchführung, die Aufführung"
"process","der Prozess, das Verfahren"
"
  significant","bedeutend"
"to contain","enthalten"
"to demand","verlangen"
