"mountain range
";Gebirgskette
"(to) flow
";fließen
"aliens
";Illegale Einwanderer, Fremdlinge
"Cape Cod
";
"drought
";Dürre
"severe
";heftig
"sugar cane
";Zuckerrohr
"New England
";
"the cradle of freedom
";die Wiege der Freiheit
"(to) dump sth.
";etwas loswerden, abladen
"(to) starve
";hungern, verhungern
"predecessor / prototype / blueprint
";Vorläufer, Entwurf
"(to) found
";gründen
"Ivy League
";
"virtue
";Tugend
"vice
";Laster
"integrity
";Rechtschaffenheit
"abolition
";Abschaffung
"(to) abolish
";abschaffen
"(to) persecute sb.
";jmd. verfolgen
"(to) oppress sb.
";jmd. unterdrücken
"(to) approve of sth.
";etw. billigen
"(to be) pious
";fromm
"piousness
";Frömmigkeit
"(to be) devout
";fromm, gläubig
"devoutness
";Frömmigkeit
"collar 
";Kragen
"(to be) thrifty
";sparsam
"(to be) patient
";geduldig
"patience
";Geduld
"(to be) humble
";bescheiden
"mercy
";Gnade
"sympathy
";Mitgefühl
"(to) show off / (to) boast / (to) brag
";angeben
"(to) abuse
";missbrauchen
"(to be) abusive
";missbrauchend
"(to) entitle
";berechtigen
"feudal system
";Feudalismus
"craftsman
";Handwerker
"nobility
";Adel, Vornehmheit
"(to be) noble
";edel, vornehm
"(to be) rigid
";starr 
"mobility 
";Beweglichkeit
"Enlightenment
";Aufklärung
"industry
";Fleiß
"(to be) industrious
";fleißig
"debts
";Schulden
"despair
";Verzweiflung
"(to) despair
";verzweifeln
"stamina / endurance
";Ausdauer
"self-reliance
";Eigenständigkeit, Eigenverantwortlichkeit
"(to be) self-reliant
";selbstständig, eigenverantwortlich
"(to be) vain
";eitel
"vanity
";Eitelkeit
"duty
";Pflicht
"(to be) weak
";schwach
"basic
";einfach, grundlegend
"(to) spend money
";"Geld ausgeben "
"(to be) partial
";parteiisch
"(to be) impartial
";unparteiisch
